clip_id,transcript,human_label,notes
clip_0526,whereas agriculture meets the 8% and how this is...,,
clip_0527,"Distributed is, you can see that, main contributor to the gross national income at district level.",,
clip_0528,"level is rice and fruits, tea and rubber come down because they are...",,
clip_0529,mostly export agriculture crops and this will show you that,,
clip_0530,cultural land estates you can see that districts in the northwestern province,,
clip_0531,have more agricultural land as well as sabaraga more.,,
clip_0532,"And this is very interesting. In the provincial, the breakdown of provincial...",,
clip_0533,be northeastern province has the highest,,
clip_0534,"The highest percentage of polyagenes foods, that is coconut and associated, where...",,
clip_0535,whereas fruits also play predominant role. A feature of this is when you take the top,,
clip_0536,"of three provinces, we find that in most cases...",,
clip_0537,three provinces provide about 60 to 60 percent of the total,,
clip_0538,"For example, rice if I take...",,
clip_0539,"rise, eastern province and north central and southern province alone, these three districts alone.",,
clip_0540,,,
clip_0541,"look at the T of course obviously is centred about central, southern and over",,
clip_0542,"So likewise, we see a feature where certain groups are concentrated.",,
clip_0543,and this makes a strong case for zoning and concentrating on certain crops.,,
clip_0544,"in certain districts where favorable infrastructure, the labor...",,
clip_0545,and the climate is already available. If you look at the current trends.,,
clip_0546,That is agriculture features that I discussed. You can see that from about 18,,
clip_0547,18% to 19% in the 1995 to 2005 era.,,
clip_0548,"up, we have dropped down to 7% by 2020.",,
clip_0549,"a steady decline in the contribution of agriculture to our GDP, likewise employment...",,
clip_0550,culture sector used to employ 36% in the not too distant past.,,
clip_0551,in 1995 having come down to 25% or 27%.,,
clip_0552,percent now although contribution to the GDP declined,,
clip_0553,"More than 50% for the last two decades, it is the second highest contribution in terms of",,
clip_0554,of employment. So the main source of livelihood for rural population which is,,
clip_0555,the cause of 77% of our population is agriculture. But...,,
clip_0556,that is marked by lowest gross wage or salary in all the three sectors as I explained.,,
clip_0557,"earlier with a median income of 20,000 per month compared to...",,
clip_0558,"Almost 40,000 in the services. So this phenomena the attractive",,
clip_0559,"of agriculture, the real benefit.",,
clip_0560,of agriculture is not a phenomena confined to Sri Lankan only. We find that...,,
clip_0561,in the South Asian region from 2010 to 2019.,,
clip_0562,Agriculture employment had a negative growth of 8.5%.,,
clip_0563,compared to a positive growth of 1.3 in services.,,
clip_0564,"So that is, sometimes you might think that agriculture is...",,
clip_0565,"are no hoper, it's not an industry that people must invest, but look at these strikes.",,
clip_0566,"Now when you look at the major rivers in Sri Lanka, every part of the country",,
clip_0567,practically is covered.,,
clip_0568,rivers going through every district and every part of our country and look at the dry soil,,
clip_0569,"which we consider that it is not suitable for agriculture, it has 64%...",,
clip_0570,center of the land area and you can see a concentration of rivers and tanks in the,,
clip_0571,"This can be further explained, you can see the reverse system.",,
clip_0572,"River network is like a sea over the country. Wherever you look, you can see a river.",,
clip_0573,"River and stream network, and supported by, I told you, someone.",,
clip_0574,concentration of reservoirs in the dry soil. So ours is not a country.,,
clip_0575,"That is short of water, that we have to look for water.",,
clip_0576,"And again, apart from the rivers and reservoirs, we have irrigation schemes.",,
clip_0577,"Now, ground water is more than adequate for agriculture, and we are talking of climate change.",,
clip_0578,"If you look at primer change, it is projected that by 2050...",,
clip_0579,our intermediate soul will expand. So that means we are having...,,
clip_0580,extent in what we call the dry zone and more and more land will come in,,
clip_0581,"suitable for agriculture enterprises. So while for most countries, climate change...",,
clip_0582,"as a negative connotation, I, in my opinion, it...",,
clip_0583,is going to be positive for Sri Lanka.,,
clip_0584,"Having all the advantages, having a huge land mass, engaged in agriculture.",,
clip_0585,one fourth of our people employed in agriculture with this,,
clip_0586,"supportive irrigation and riverine system, we are still...",,
clip_0587,in a very bad position. I just want to illustrate that.,,
clip_0588,"Paddy is our staple crop, 1.8 million people are engaged in Paddy.",,
clip_0589,"cultivation. But if you look at the figures, the paddy farmers are in need of cultivation.",,
clip_0600,eternal debt cycle. This explains.,,
clip_0601,"The loans they have taken, the Green Bikes Place loans, they have taken...",,
clip_0602,"And the red bar shows you the loans they have paid. So there is always, if you look at the...",,
clip_0603,"last five years or so, the petty farmer has not been able to pay up the loan.",,
clip_0604,that he has taken. So he is in an eternal death cycle. And this is not only...,,
clip_0605,This is applicable to other crops as well.,,
clip_0606,"illustration that while we have all the advantages, our agriculture workers are...",,
clip_0607,agriculture sectors are not thriving. So if you look at the right supports.,,
clip_0608,"in Sri Lanka. In 2020, we imported rice worth Rs.2,000.",,
clip_0609,1.936 million rupees worth of price was imported.,,
clip_0610,"In 2017, we imported 740,000 tonnes of metric ice.",,
clip_0611,"metric tons of rice. Another important thing is, it's a",,
clip_0612,other foods we have spent hundred and thirty-seven million,,
clip_0613,"137,558 million, that is 48% of...",,
clip_0614,all our food and drink expenditure has gone to import other food.,,
clip_0615,So having all these supportive agricultural base having 25% of our,,
clip_0616,"people engaged in agriculture, still we have to resort to import food.",,
clip_0617,"Another interesting thing in Sri Lanka, it doesn't connect to agriculture, we are surrounded by...",,
clip_0618,"ocean, we are an island, but we have imported rupees 19,000.",,
clip_0619,"215 billion worth of dried fish, food for thought.",,
clip_0620,"and other fish it says, probably salmon, tin fish, rupees.",,
clip_0621,million eight hundred and forty four thousand. So we have imported fish in,,
clip_0622,"the other forms being an island 35,900",,
clip_0623,159 rupees worth and that import is 73 percent of our,,
clip_0624,"for the whole of agriculture, including paddy, tea, rava...",,
clip_0625,and which will build another cross. Our foot import bill is usually two.,,
clip_0626,2.5 million US dollars,,
clip_0627,"So, I look at this sector as a sector having enormous...",,
clip_0628,"potential to develop agriculture. It's not the dead end, it probably is a start.",,
clip_0629,because we have this kind of potential and this is the scenario currently.,,
clip_0630,What I feel is agriculture stuck like a you,,
clip_0631,giant tied down by thousands of ball strings I think all of you all are,,
clip_0632,"familiar with the story of Kaliwa, right? Even thousands of small",,
clip_0633,can tide out a jet. So I think that is what has happened to our agriculture.,,
clip_0634,"sector in Sri Lanka. What are the features, very briefly, in the interest of",,
clip_0635,of time. Why has the agriculture sector come to a standstill?,,
clip_0636,this state of why is it a sleeping giant? How can we wake it up?,,
clip_0637,One of the features is very low land and labour productivity.,,
clip_0638,One of the reasons is quite obvious because it's a small scale of operations,,
clip_0639,"When you have got one or less, I don't think you can make an economy.",,
clip_0640,Go of running agriculture Profitably or successfully then we have,,
clip_0641,"improper land use and resulting from that, improper agronomy and agricultural.",,
clip_0642,"Then as I explained earlier, small size of arm holding",,
clip_0643,"lead to low farm family income due to small land ownership. Now, for example,",,
clip_0644,"For example, a major economic crop in Sri Lanka is a team...",,
clip_0645,"The smallholder sector, right, they are self-supportive, they are not depending on...",,
clip_0646,"government, the tea industry runs on its own, the smallholder sector with 400",,
clip_0647,"50,000 operators, the average landholding size is 59 to 60 percent.",,
clip_0648,So with 59 to 60 perches they make their living and of course 30...,,
clip_0649,only two acres. Anyone involved in pedi knows that with two acres you cannot,,
clip_0650,make a successful enterprise and declining land at the,,
clip_0651,"cultivation. Because of this reason, thinking of cultivable...",,
clip_0652,"land due to urbanization, population growth, and mainly since of land loss.",,
clip_0653,"degradation. We had a classic example of that in the last week, flash floods that",,
clip_0654,crop destroyed many hectares of vegetable cultivation and crop planning.,,
clip_0655,up country. Let poor knowledge and awareness by operators and under-utilisation admit...,,
clip_0656,"issues of land, land degradation comes under issues, high labour component cost.",,
clip_0657,in the cost of production of agriculture produce because of our small scale because,,
clip_0658,of the low use of technology and appropriate agricultural practices.,,
clip_0659,labor cost component is fairly high compared to the other industries and other countries.,,
clip_0660,And another important thing is insecurity of tenure and ownership terms.,,
clip_0661,"Even in commercial agriculture, an example is the plantation sector.",,
clip_0662,We are a long-term crop and we have uncertainties about the tenure. We have 20 years,,
clip_0663,"to go before the lease runs out. Up to now, there is no guarantee or...",,
clip_0664,There is no indication that the lease should be continued. So no investor.,,
clip_0665,normally a rubber crop takes 30 years and a tea crop about 50 years,,
clip_0666,So there should be some indication of continuity if investors are going to invest in land.,,
clip_0667,"So the supplies in the small scale as well, then I already discussed",,
clip_0668,"even if you take out major commercial crops like tea, which are",,
clip_0669,"In Sri Lanka, the state is about 200 to 250 hectares on average.",,
clip_0670,compared to the better tea economies like in Kenya which is about 1000 hectares.,,
clip_0671,"So these diseconomies of scale, at a certain point, brings huge disadvantages.",,
clip_0672,but we have met in Sri Lanka.,,
clip_0673,and we produce different types of diverse tea.,,
clip_0674,"keep ahead of the competition. Then low use of technology, innovation.",,
clip_0675,and the small size and lack of capital means low mechanisation and automation in agriculture.,,
